reward_case,slip_case,slip_enabled,slip_prob,seed,gamma,first_success_episode,final100_success_rate,final100_mean_episode_length,final100_mean_total_reward,final100_mean_base_total_reward,final100_mean_illegal_actions,final100_mean_illegal_pickups,final100_mean_illegal_dropoffs,final100_mean_slipped_actions,final100_mean_pickup_step,final100_mean_dropoff_after_pickup_steps
original,slip,True,0.2,92,0.99,0,0.95,52.22,-40.64,-40.64,0.93,0.44,0.49,9.93,33.68421052631579,10.757894736842106
original,slip,True,0.2,90,0.99,41,0.98,47.78,-33.68,-33.68,0.72,0.36,0.36,9.23,35.09090909090909,11.10204081632653
original,slip,True,0.2,91,0.99,66,0.99,51.05,-36.2,-36.2,0.66,0.25,0.41,9.52,40.23,10.787878787878787
original,slip,True,0.2,94,0.99,42,0.99,54.62,-41.66,-41.66,0.87,0.52,0.35,10.52,42.303030303030305,10.848484848484848
original,slip,True,0.2,93,0.99,3,0.98,53.66,-39.56,-39.56,0.72,0.39,0.33,10.27,41.717171717171716,10.53061224489796
original,slip,True,0.2,95,0.99,19,1.0,45.96,-31.89,-31.89,0.77,0.35,0.42,8.17,35.14,10.82
original,slip,True,0.2,96,0.99,22,1.0,48.23,-33.62,-33.62,0.71,0.44,0.27,8.31,37.51,10.72
original,slip,True,0.2,97,0.99,1,0.95,55.26,-41.43,-41.43,0.68,0.33,0.35,10.56,38.375,10.905263157894737
no_step_penalty,no_slip,False,0.2,0,0.99,10,1.0,13.91,18.5,5.74,0.15,0.07,0.08,0.0,6.01,7.9
no_step_penalty,no_slip,False,0.2,1,0.99,4,1.0,16.33,17.6,2.51,0.24,0.14,0.1,0.0,7.54,8.79
no_step_penalty,no_slip,False,0.2,4,0.99,13,1.0,14.28,17.3,4.29,0.27,0.13,0.14,0.0,6.26,8.02
original,slip,True,0.2,98,0.99,11,0.99,48.49,-34.18,-34.18,0.72,0.32,0.4,9.19,37.92,10.656565656565656
no_step_penalty,no_slip,False,0.2,3,0.99,0,1.0,15.2,18.1,4.09,0.19,0.09,0.1,0.0,7.17,8.03
