variant,case,seed,is_slippery,dense_reward,first_success_episode,first_success_total_steps,resuccess_gap_episodes,post50_success_rate,post100_success_rate
holes_respawn_to_start,det_dense,27,0,1,1,131,44,0.02,0.03
holes_respawn_to_start,det_dense,28,0,1,43,8521,123,0.0,0.0
holes_respawn_to_start,det_dense,29,0,1,88,17539,120,0.0,0.0
holes_respawn_to_start,det_dense,30,0,1,69,13709,56,0.0,0.01
holes_respawn_to_start,det_dense,31,0,1,202,40242,59,0.0,0.01
holes_respawn_to_start,det_dense,32,0,1,51,10081,82,0.0,0.01
holes_respawn_to_start,det_dense,33,0,1,75,14936,106,0.0,0.0
holes_respawn_to_start,det_dense,34,0,1,252,50352,258,0.0,0.0
holes_respawn_to_start,det_dense,35,0,1,299,59744,18,0.02,0.01
holes_respawn_to_start,det_dense,36,0,1,18,3583,28,0.02,0.03
holes_respawn_to_start,det_dense,37,0,1,8,1530,70,0.0,0.01
holes_respawn_to_start,det_dense,38,0,1,266,53118,40,0.02,0.01
holes_respawn_to_start,det_dense,39,0,1,96,19069,18,0.02,0.01
holes_respawn_to_start,det_dense,40,0,1,73,14596,55,0.0,0.02
holes_respawn_to_start,det_dense,41,0,1,4,711,76,0.0,0.01
holes_respawn_to_start,det_dense,42,0,1,130,25932,9,0.04,0.02
holes_respawn_to_start,det_dense,43,0,1,14,2669,95,0.0,0.01
holes_respawn_to_start,det_dense,44,0,1,1,163,46,0.02,0.03
holes_respawn_to_start,det_dense,45,0,1,97,19293,68,0.0,0.01
holes_respawn_to_start,det_dense,46,0,1,76,15088,47,0.04,0.02
holes_respawn_to_start,det_dense,47,0,1,117,23249,73,0.0,0.01
holes_respawn_to_start,det_dense,48,0,1,182,36304,257,0.0,0.0
holes_respawn_to_start,det_dense,49,0,1,60,11891,68,0.0,0.01
holes_respawn_to_start,det_dense,50,0,1,315,62957,98,0.0,0.01
holes_respawn_to_start,det_dense,51,0,1,26,5119,1,0.02,0.02
holes_respawn_to_start,det_dense,52,0,1,122,24252,399,0.0,0.0
holes_respawn_to_start,det_dense,53,0,1,178,35460,44,0.02,0.01
holes_respawn_to_start,det_dense,54,0,1,269,53759,88,0.0,0.01
holes_respawn_to_start,det_dense,55,0,1,18,3438,148,0.0,0.0
holes_respawn_to_start,det_dense,56,0,1,39,7639,58,0.0,0.04
holes_respawn_to_start,det_dense,57,0,1,128,25558,77,0.0,0.01
holes_respawn_to_start,det_dense,58,0,1,129,25724,3,0.02,0.02
holes_respawn_to_start,det_dense,59,0,1,193,38536,120,0.0,0.0
holes_respawn_to_start,det_dense,60,0,1,4,696,57,0.0,0.02
holes_respawn_to_start,det_dense,61,0,1,82,16394,187,0.0,0.0
holes_respawn_to_start,det_dense,62,0,1,127,25341,1,0.04,0.03
holes_respawn_to_start,det_dense,63,0,1,236,47087,232,0.0,0.0
holes_respawn_to_start,det_dense,64,0,1,83,16581,136,0.0,0.0
holes_respawn_to_start,det_dense,65,0,1,64,12711,59,0.0,0.01
holes_respawn_to_start,det_dense,66,0,1,31,6186,90,0.0,0.01
holes_respawn_to_start,det_dense,67,0,1,90,17968,70,0.0,0.01
holes_respawn_to_start,det_dense,68,0,1,50,9895,195,0.0,0.0
holes_respawn_to_start,det_dense,69,0,1,40,7862,208,0.0,0.0
holes_respawn_to_start,det_dense,70,0,1,308,61565,1,0.04,0.02
holes_respawn_to_start,det_dense,71,0,1,90,17987,85,0.0,0.01
holes_respawn_to_start,det_dense,72,0,1,55,10836,18,0.02,0.02
holes_respawn_to_start,det_dense,73,0,1,43,8477,86,0.0,0.01
holes_respawn_to_start,det_dense,74,0,1,7,1256,60,0.0,0.01
holes_respawn_to_start,det_dense,75,0,1,75,14899,8,0.02,0.02
