variant,case,seed,is_slippery,dense_reward,first_success_episode,first_success_total_steps,resuccess_gap_episodes,post50_success_rate,post100_success_rate
holeless_control,det_dense,77,0,1,4,778,1,0.5,0.42
holeless_control,det_dense,78,0,1,2,386,1,0.48,0.43
holeless_control,det_dense,79,0,1,1,137,1,0.38,0.37
holeless_control,det_dense,80,0,1,1,71,4,0.38,0.4
holeless_control,det_dense,81,0,1,1,179,1,0.5,0.51
holeless_control,det_dense,82,0,1,1,116,1,0.32,0.41
holeless_control,det_dense,83,0,1,1,57,2,0.44,0.46
holeless_control,det_dense,84,0,1,10,1969,1,0.42,0.41
holeless_control,det_dense,85,0,1,3,470,3,0.4,0.45
holeless_control,det_dense,86,0,1,3,532,1,0.46,0.38
holeless_control,det_dense,87,0,1,5,983,8,0.32,0.45
holeless_control,det_dense,88,0,1,3,491,1,0.34,0.41
holeless_control,det_dense,89,0,1,1,19,6,0.36,0.37
holeless_control,det_dense,90,0,1,8,1588,3,0.42,0.41
holeless_control,det_dense,91,0,1,2,395,2,0.46,0.45
holeless_control,det_dense,92,0,1,8,1553,2,0.42,0.39
holeless_control,det_dense,93,0,1,1,122,1,0.42,0.42
holeless_control,det_dense,94,0,1,1,144,1,0.36,0.39
holeless_control,det_dense,95,0,1,8,1498,2,0.34,0.39
holeless_control,det_dense,96,0,1,4,684,2,0.48,0.43
holeless_control,det_dense,97,0,1,1,173,5,0.34,0.31
holeless_control,det_dense,98,0,1,1,101,1,0.38,0.39
holeless_control,det_dense,99,0,1,1,84,1,0.36,0.46
holeless_control,stoch_sparse,0,1,0,4,723,1,0.44,0.47
holeless_control,stoch_sparse,1,1,0,2,322,6,0.32,0.35
holeless_control,stoch_sparse,2,1,0,2,246,1,0.4,0.46
holeless_control,stoch_sparse,3,1,0,1,126,2,0.38,0.39
holeless_control,stoch_sparse,4,1,0,1,88,3,0.38,0.37
holeless_control,stoch_sparse,5,1,0,1,103,1,0.38,0.42
holeless_control,stoch_sparse,6,1,0,1,36,1,0.32,0.33
holeless_control,stoch_sparse,7,1,0,1,87,1,0.46,0.43
holeless_control,stoch_sparse,8,1,0,2,323,2,0.48,0.46
holeless_control,stoch_sparse,9,1,0,1,145,4,0.4,0.41
holeless_control,stoch_sparse,10,1,0,2,376,2,0.46,0.47
holeless_control,stoch_sparse,11,1,0,1,176,2,0.46,0.44
holeless_control,stoch_sparse,12,1,0,2,397,2,0.5,0.39
holeless_control,stoch_sparse,13,1,0,1,30,1,0.38,0.41
holeless_control,stoch_sparse,14,1,0,3,463,2,0.42,0.4
holeless_control,stoch_sparse,15,1,0,1,174,1,0.38,0.43
holeless_control,stoch_sparse,16,1,0,8,1529,5,0.38,0.42
holeless_control,stoch_sparse,17,1,0,3,500,8,0.32,0.46
holeless_control,stoch_sparse,18,1,0,3,512,1,0.36,0.42
holeless_control,stoch_sparse,19,1,0,2,265,1,0.36,0.4
holeless_control,stoch_sparse,20,1,0,2,363,4,0.38,0.38
holeless_control,stoch_sparse,21,1,0,4,694,1,0.4,0.39
holeless_control,stoch_sparse,22,1,0,5,902,5,0.44,0.39
holeless_control,stoch_sparse,23,1,0,5,966,1,0.54,0.48
holeless_control,stoch_sparse,24,1,0,1,67,1,0.32,0.32
holeless_control,stoch_sparse,25,1,0,1,141,3,0.36,0.35
holeless_control,stoch_sparse,26,1,0,2,237,2,0.42,0.38
holeless_control,stoch_sparse,27,1,0,3,565,3,0.3,0.34
holeless_control,stoch_sparse,28,1,0,3,570,1,0.38,0.38
holeless_control,stoch_sparse,29,1,0,1,134,4,0.36,0.41
holeless_control,stoch_sparse,30,1,0,1,97,1,0.42,0.4
holeless_control,stoch_sparse,31,1,0,1,35,1,0.54,0.47
holeless_control,stoch_sparse,32,1,0,7,1354,1,0.46,0.45
holeless_control,stoch_sparse,33,1,0,1,145,3,0.34,0.38
holeless_control,stoch_sparse,34,1,0,4,800,2,0.42,0.42
holeless_control,stoch_sparse,35,1,0,1,126,1,0.4,0.4
holeless_control,stoch_sparse,36,1,0,1,188,2,0.42,0.44
holeless_control,stoch_sparse,37,1,0,1,60,5,0.3,0.32
holeless_control,stoch_sparse,38,1,0,10,1923,1,0.48,0.47
holeless_control,stoch_sparse,39,1,0,1,103,1,0.46,0.38
holeless_control,stoch_sparse,40,1,0,1,135,3,0.4,0.38
holeless_control,stoch_sparse,41,1,0,3,441,2,0.48,0.48
holeless_control,stoch_sparse,42,1,0,2,340,11,0.42,0.39
holeless_control,stoch_sparse,43,1,0,1,122,1,0.48,0.4
holeless_control,stoch_sparse,44,1,0,2,355,2,0.44,0.46
holeless_control,stoch_sparse,45,1,0,1,151,3,0.44,0.44
holeless_control,stoch_sparse,46,1,0,1,197,3,0.4,0.37
holeless_control,stoch_sparse,47,1,0,1,104,2,0.48,0.47
holeless_control,stoch_sparse,48,1,0,5,997,1,0.32,0.36
holeless_control,stoch_sparse,49,1,0,3,481,1,0.42,0.38
holeless_control,stoch_sparse,50,1,0,1,91,1,0.5,0.42
holeless_control,stoch_sparse,51,1,0,4,796,1,0.36,0.41
holeless_control,stoch_sparse,52,1,0,3,493,2,0.4,0.38
holeless_control,stoch_sparse,53,1,0,1,59,2,0.46,0.41
holeless_control,stoch_sparse,54,1,0,3,486,1,0.5,0.41
holeless_control,stoch_sparse,55,1,0,2,307,1,0.34,0.42
holeless_control,stoch_sparse,56,1,0,2,312,1,0.52,0.47
holeless_control,stoch_sparse,57,1,0,1,111,18,0.34,0.38
holeless_control,stoch_sparse,58,1,0,1,49,1,0.46,0.47
holeless_control,stoch_sparse,59,1,0,1,149,3,0.36,0.39
holeless_control,stoch_sparse,60,1,0,4,741,1,0.32,0.32
holeless_control,stoch_sparse,61,1,0,2,364,5,0.42,0.37
holeless_control,stoch_sparse,62,1,0,3,552,2,0.52,0.51
